Runs,Seven,Nine,Eleven,Thirteen,Fifteen
GrowthOnly,66.50593809508028,70.41493522104047,72.02641667393695,128.3406478554386,130.2720773789255
CAB,76.05527894975747,74.66640899874704,70.79260831969589,67.32364684700312,73.9685071097347
Infl,85.39037932657583,81.42531262338206,82.7540199182013,83.49548821423463,85.8434880485606
EXDEBT,114.56612719003078,114.04130066268166,106.72364434441111,114.38820268970056,116.18803856883272
None,66.30754348964948,68.540202063332,126.48654335220208,124.46744088580361,125.42998047556962
