Country,year,Country_code,GDPcap,advecon,Banking,Currency,Debt,IMF,LLevels1,LLevels2,LLevels3,LLevels4,LLevels5,FLevels1,FLevels2,FLevels3,FLevels4,FLevels5,FLevels6,ID,Diff1,SqError
Turkey,1984,TUR,8550.5938,0,0.0,1.0,0.0,1,8297.9551,8096.937,8299.4033,7613.3716,7929.9858,8895.8232,9242.7773,10086.835,10104.827,9820.1895,10371.074,139,10.608048192774731,83958.76975691698
Turkey,2000,TUR,11687.035,0,1.0,0.0,0.0,1,11175.752,11838.292,11997.86,11519.436,10543.618,11280.157,11041.545,10768.632,11859.413,12793.703,14492.315,140,-469.59320588778246,442396.84297040047
Tanzania,1987,TZA,917.72845,0,1.0,0.0,0.0,1,1207.1031,1810.006,1634.6814,1560.9923,1533.504,1174.4879,1083.2579,1106.3162,1078.6716,961.3158,909.73737,141,127.06875420023721,49912.55060358157
Tanzania,1990,TZA,1106.3162,0,0.0,1.0,0.0,1,1083.2579,1174.4879,917.72845,1207.1031,1810.006,1078.6716,961.3158,909.73737,853.56165,863.52441,911.41943,142,-18.84502800324867,148290.81443441458
Uganda,1980,UGA,743.23859,0,0.0,1.0,0.0,1,811.83081,969.37848,1051.0099,1051.0986,1004.3652,725.33051,820.33313,885.94324,844.11493,799.91644,776.86035,143,-14.080238762470003,14707.042494853318
Uganda,1988,UGA,821.24304,0,0.0,1.0,0.0,1,804.69244,776.86035,799.91644,844.11493,885.94324,817.87885,811.14746,794.86798,804.85425,814.09912,1054.7284,144,7.890402080161948,1243.6569163405366
Uganda,1994,UGA,1054.7284,0,1.0,0.0,0.0,1,814.09912,804.85425,794.86798,811.14746,817.87885,1026.8447,1013.1063,1027.75,1084.4271,1098.7701,1112.3518,145,207.37897958811993,70824.85745667716
Ukraine,2008,UKR,9598.5713,0,1.0,0.0,0.0,1,8912.4619,7807.3213,7042.8452,6434.4111,5568.7153,8298.3232,8548.9023,9533.9316,9955.917,10263.793,10048.436,147,-811.984885085305,87208.2404893318
Uruguay,1972,URY,7633.2876,0,0.0,1.0,0.0,1,7825.8013,7791.9067,7291.1265,6867.3423,6832.9341,7920.7378,7725.6294,7919.1533,8063.1001,7900.0415,8330.0146,148,72.33717956870532,15615.553295476522
Uruguay,1981,URY,9616.5303,0,1.0,0.0,0.0,1,9500.7578,8993.084,8330.0146,7900.0415,8063.1001,8583.8574,7690.0986,7512.9644,7456.1421,8381.959,9143.7178,149,-847.1766876493712,103432.06791941075
Uruguay,1990,URY,8919.0918,0,0.0,1.0,0.0,1,9123.2559,9101.3457,9143.7178,8381.959,7456.1421,9277.458,10307.907,10685.803,11595.667,11451.718,12087.745,151,-322.156085295539,235049.44046952133
"Venezuela, RB",1989,VEN,7867.52,0,0.0,1.0,0.0,1,7865.1934,8048.981,7852.978,8729.9971,9217.8604,8527.7852,8244.8662,8147.3828,7679.1743,7374.1523,7328.8433,153,842.1737250659917,99762.89080280474
"Yemen, Rep.",1995,YEM,656.30719,0,0.0,1.0,0.0,1,604.49689,612.68146,624.9245,638.70007,686.52301,763.8255,837.43243,917.73523,1002.3434,1093.3654,1232.4426,154,171.508749932873,3027.5130150309587
Zambia,1995,ZMB,950.80762,0,1.0,0.0,0.0,1,954.6131,1012.0228,1092.1404,1309.9362,1306.6642,1029.8528,1077.8733,1015.8787,1018.0806,1188.8837,1222.8516,156,-24.215896970265703,29656.9100537744
Zimbabwe,1983,ZWE,3603.4495,0,0.0,1.0,0.0,1,3206.79,3160.605,2687.8083,2625.2549,2580.189,3311.1807,3501.8796,3515.0237,3413.95,3893.3149,4257.6987,157,-478.9187977534398,56604.14718694711
Zimbabwe,1991,ZWE,5041.1079,0,0.0,1.0,0.0,1,4417.7505,4257.6987,3893.3149,3413.95,3515.0237,4409.5864,4511.71,4962.897,4655.5767,5213.0737,4255.4976,158,-856.1379831508029,222459.04004346768
Zimbabwe,1998,ZWE,3699.4553,0,0.0,1.0,0.0,1,4255.4976,5213.0737,4655.5767,4962.897,4511.71,3266.7136,2917.6055,2688.8516,2022.6418,1694.9615,1530.0151,159,-950.184855786757,506664.22250031575
