Country,year,Country_code,GDPcap,advecon,Banking,Currency,Debt,IMF,LLevels1,LLevels2,LLevels3,LLevels4,LLevels5,FLevels1,FLevels2,FLevels3,FLevels4,FLevels5,FLevels6,ID,Diff1,SqError
"Congo, Dem. Rep.",1989,COD,1855.4766,0,0.0,1.0,0.0,1,1903.9889,1810.7568,1857.037,2058.9307,2315.5828,1392.4324,1052.1409,1382.1042,1028.3452,748.86353,758.45862,32,-458.0283627617839,3848.5540210830186
"Congo, Dem. Rep.",2009,COD,591.15063,0,0.0,1.0,0.0,1,593.79535,618.25867,585.15784,576.27753,553.6994,650.36627,675.56915,748.90112,807.96521,832.09204,844.14392,33,60.72635461464938,11295.322778148195
"Congo, Rep.",1986,COG,2237.8115,0,0.0,0.0,1.0,1,3407.9548,3538.2048,3038.3508,2554.0557,2383.7991,2213.0583,1930.175,2019.0737,2213.2087,2450.7339,1740.9652,34,-600.5564829734631,997022.1171487775
"Congo, Rep.",1994,COG,1602.7417,0,0.0,1.0,0.0,1,1787.5314,1740.9652,2450.7339,2213.2087,2019.0737,1479.9161,1697.6644,1557.1455,1232.7675,1545.4629,2372.3521,35,-206.10696473962548,177232.95298214856
Colombia,1998,COL,7322.2002,0,1.0,0.0,0.0,1,7604.1455,7532.375,7604.2246,7397.6982,7092.7993,6874.146,7011.3438,6872.3594,6897.3975,7027.4492,7326.2983,36,-552.8268275899072,40428.9388047036
Costa Rica,1987,CRI,7210.9248,0,1.0,0.0,0.0,1,7495.7798,6925.8955,6877.1084,6518.4209,6555.6396,7246.3477,7388.0664,7326.1743,7346.5811,7905.1631,8336.6582,38,-1.5382930659234262,92752.6732090852
Costa Rica,1991,CRI,7346.5811,0,0.0,1.0,0.0,1,7326.1743,7388.0664,7246.3477,7210.9248,7495.7798,7905.1631,8336.6582,8615.4043,8860.1113,8678.0947,9042.3643,39,455.22091479857045,3670.3321967237566
Costa Rica,1994,CRI,8615.4043,0,1.0,0.0,0.0,1,8336.6582,7905.1631,7346.5811,7326.1743,7388.0664,8860.1113,8678.0947,9042.3643,9573.9092,9654.2217,9677.7793,40,397.56147344918463,81724.67898584923
Dominica,2002,DMA,8305.4658,0,0.0,0.0,1.0,1,8263.7871,8634.4893,8922.1396,8820.8633,7979.8135,7938.832,8186.5806,8129.0566,8741.167,9243.7148,9908.3838,41,-46.10885881675404,836475.3639572571
Dominican Republic,1982,DOM,4620.2803,0,0.0,0.0,1.0,1,4704.8008,4518.1748,4091.0728,4004.7847,4154.437,4762.7041,4550.166,4459.8408,4613.9131,4752.1558,5025.7852,42,-27.2584117494398,2106.768234717646
Dominican Republic,1985,DOM,4459.8408,0,0.0,1.0,0.0,1,4550.166,4762.7041,4620.2803,4704.8008,4518.1748,4613.9131,4752.1558,5025.7852,4926.8491,4493.4272,4511.5947,43,64.71782279167564,1304.8814847923009
Dominican Republic,1990,DOM,4493.4272,0,0.0,1.0,0.0,1,4926.8491,5025.7852,4752.1558,4613.9131,4459.8408,4511.5947,4942.8848,5316.4946,5509.9814,5675.6411,5970.873,44,-250.65211258703766,32719.213590505948
Algeria,1994,DZA,6922.8203,0,0.0,1.0,0.0,1,7187.1724,7861.96,8286.4775,8282.1162,8075.3091,7035.5708,7668.5649,7557.0127,7325.9731,7734.6812,9464.8242,48,-72.08035500446385,155942.20616426144
"Egypt, Arab Rep.",1990,EGY,2012.9269,0,0.0,1.0,0.0,1,1842.7845,1700.8568,1768.0704,1763.2845,1793.5989,2280.8303,2472.0205,2839.8606,3177.4827,3657.9634,4315.9263,50,258.6216687170988,8610.11036456574
Spain,1977,ESP,13891.88,1,1.0,0.0,0.0,1,13467.743,12989.761,12967.008,12796.742,12031.51,14321.62,14455.012,14548.845,13535.045,13071.146,12652.37,51,331.98326383071617,63466.23613193581
Gabon,1994,GAB,8638.3701,0,0.0,1.0,0.0,1,8228.9824,8503.5762,9112.6123,8699.6211,8928.9014,8654.6357,9422.7588,7926.8442,6957.5845,7821.4849,9791.2783,53,-127.34770166735689,114361.30148058542
Ghana,1978,GHA,3656.2903,0,0.0,1.0,0.0,1,3732.2605,3248.8394,3692.2087,4210.5034,3890.9514,3375.845,3320.3669,3028.2024,2482.8699,2384.8665,2512.0159,54,-402.9703090086923,91462.34159887412
Ghana,1982,GHA,2482.8699,0,1.0,0.0,0.0,1,3028.2024,3320.3669,3375.845,3656.2903,3732.2605,2384.8665,2512.0159,2631.1057,2617.4424,2603.5647,2785.8372,55,-496.7757739898361,210573.71944143448
