Varname,Mean,Median,StdDev,N
AmountAgreedPercentGDP,2.0962533302326443,1.273695,2.395320519670609,533
simple_conditions,32.982968369829685,30.0,20.679604703172767,411
DWDI,2.314727699751909,3.24650015,5.629634715982114,524
Infl,44.78696141219929,11.7089362878656,154.07619733046616,466
CAB,-4.457203512191834,-3.806038538732629,6.9592445351373,422
EXDEBT,64.28847476597765,50.42879979235656,64.07651885239332,416
