Runs,Seven,Nine,Eleven,Thirteen,Fifteen
GrowthOnly,147.61570629487792,135.80239611618768,128.36401635305796,202.35069588723388,202.44805809151924
CAB,112.50619564792615,99.03207887627109,96.08544798821218,93.30588248672109,103.41910995154947
Infl,148.16391370376593,146.37003878635358,144.55425653472432,146.13341217356825,150.99517148038592
EXDEBT,222.08974238980187,218.79389038465223,186.62050260252056,189.0960235678087,190.5455934344245
None,145.48757571791256,130.12982251231594,180.10604567017273,181.69873703327875,179.7694204503662
