Country,year,Country_code,CAB,Infl,EXDEBT,rgdpe,pop,Gshare,GDPRank,advecon,Banking,Currency,Debt,Region,AmountAgreedPercentGDP,WGI,conditions,DWDI,LGrowth1,LGrowth2,LGrowth3,LGrowth4,LGrowth5,FGrowth1,FGrowth2,FGrowth3,FGrowth4,FGrowth5,FGrowth6,FGrowth7,IMF
Bangladesh,1987,BGD,-.9758650692823827,9.87469609126641,39.1603036422247,118454.85,98.343811,.13929662,.12252321,0,1,0,0,Asia,1.0709995,-.73224235,53,3.7724018,4.1733828,3.3420146,4.8033099,3.8810463,2.1343279,2.4162569,2.8365822,5.6222582,3.4852278,5.4426856,4.7115617,3.8901265,1
Bulgaria,1990,BGR,-8.288059642304795,23.8000000000003,57.3261240943265,89570.336,8.8413706,.48637664,.9467442,0,0,0,1,Europe,3.4880321,.1073689,58,-9.1173773,-3.2898822,10.944692,6.0545139,4.207602,2.6834407,-8.4453554,-7.272388,-1.4802148,1.8180113,2.8601894,.70468068,-1.0888202,1
Bulgaria,1996,BGR,.1288476265165844,121.60754244925,87.95088325825859,59801.703,8.291872,.26897842,.62145615,0,1,1,0,Europe,4.7657423,.1073689,158,.70468068,2.8601894,1.8180113,-1.4802148,-7.272388,-8.4453554,-1.0888202,6.348979,-8.4081345,4.7657709,3.7702179,5.9375162,5.1562185,1
Bosnia and Herzegovina,1992,BIH,,,,5171.4561,4.2391539,.55500489,.11562835,0,1,0,0,Europe,,-.69180512,0,,,,,,,,,20.800001,88.957664,34.389576,15.599997,9.5999994,0
Belarus,1995,BLR,-3.279972801331104,709.346032118606,12.16621830873481,77292.5,10.142308,.45313159,.68564475,0,1,0,0,Europe,2.1310163,-.80565321,77,-10.400001,-11.700004,-7.6000018,-9.6000013,-1.1999955,,2.8000047,11.400005,8.399991,3.3999991,5.8000035,4.725306,5.0452676,1
Belarus,1997,BLR,-6.081364337704114,63.9373663357479,14.82751490088176,79577.117,10.073061,.36188549,.65866482,0,0,1,0,Europe,,-.80565321,0,11.400005,2.8000047,-10.400001,-11.700004,-7.6000018,-9.6000013,8.399991,3.3999991,5.8000035,4.725306,5.0452676,7.0431924,11.449743,0
Belarus,2009,BLR,-12.05446906320092,12.9456563410401,44.37002285158447,138526.83,9.4862394,.22141235,.8380565,0,0,1,0,Europe,6.8744941,-.80565321,53,.19999531,10.2,8.6000061,9.9999952,9.4000015,11.449743,7.7982669,5.3787074,1.6871356,1.0034709,1.7263849,-3.8295705,-2.5264463,1
Belarus,2015,BLR,-3.243306375577927,13.5344897649734,70.8541035115196,161395.7,9.4857721,.15897053,.85873806,0,0,1,0,Europe,,-.80565321,,-3.8295705,1.7263849,1.0034709,1.6871356,5.3787074,7.7982669,-2.5264463,2.5321834,3.0499055,,,,,0
Belize,2007,BLZ,-4.036286673092546,,95.04307534599002,2316.5027,.29840699,.18785763,.4319095,0,0,0,1,LatAm,,-.31318158,0,1.1055862,4.5816002,2.5780089,4.6480875,9.3279514,5.119885,3.2288556,.67080146,3.3834717,2.1626067,2.9378126,.85193461,3.6923714,0
Belize,2012,BLZ,-2.117440219100517,,82.86971384216059,2661.6465,.33670101,.18700698,.40153021,0,0,0,1,LatAm,,-.31318158,0,2.9378126,2.1626067,3.3834717,.67080146,3.2288556,1.1055862,.85193461,3.6923714,3.4319506,-.58802366,1.437289,3.0354037,,0
Belize,2017,BLZ,-7.02681788887321,,80.13692106304802,3207.8691,.374681,.23779379,.4175345,0,0,0,1,LatAm,,-.31318158,,1.437289,-.58802366,3.4319506,3.6923714,.85193461,2.9378126,3.0354037,,,,,,,0
