Country,year,Country_code,GDPCAP,advecon,Banking,Currency,Debt,IMF,LLevels1,LLevels2,LLevels3,LLevels4,LLevels5,FLevels1,FLevels2,FLevels3,FLevels4,FLevels5,FLevels6
Bolivia,1994,BOL,1456.39475402423,0,1,0,0,1,1420.7418,1391.4807,1398.1224,1356.5405,1324.163,1493.4192,1527.1111,1570.8259,1617.3671,1592.7373,1601.4154
Brazil,1976,BRA,7296.347151966478,0,0,1,0,0,6805.2979,6623.416,6219.5142,5587.8857,5108.4028,7453.5903,7514.2891,7835.0703,8349.4873,7796.8545,7660.5781
Brazil,1982,BRA,7660.578088447254,0,0,1,0,1,7796.8545,8349.4873,7835.0703,7514.2891,7453.5903,7230.7163,7442.9722,7862.7031,8316.5166,8445.7119,8276.3271
Brazil,1987,BRA,8445.711771909215,0,0,1,0,1,8316.5166,7862.7031,7442.9722,7230.7163,7660.5781,8276.3271,8389.9785,7983.7466,7963.1118,7791.7573,8020.606
Brazil,1992,BRA,7791.75732446349,0,0,1,0,1,7963.1118,7983.7466,8389.9785,8276.3271,8445.7119,8020.606,8311.5605,8540.0771,8591.0146,8744.8457,8641.2754
Brazil,1994,BRA,8311.560836268678,0,1,0,0,0,8020.606,7791.7573,7963.1118,7983.7466,8389.9785,8540.0771,8591.0146,8744.8457,8641.2754,8554.0732,8803.1523
Brazil,2015,BRA,11431.1550399028,0,0,1,0,0,11951.209,11993.484,11745.776,11627.811,11286.243,10965.975,11021.719,11130.719,11203.275,,
Botswana,1984,BWA,2758.305110067566,0,0,1,0,0,2631.2439,2405.8569,2219.7178,2109.0146,1954.6466,2849.4595,2967.5813,3193.8198,3671.425,4002.7617,4133.4585
Central African Republic,1976,CAF,633.1957636223971,0,1,0,0,0,612.42242,620.72284,592.81934,590.25958,599.01001,643.47449,636.36041,605.27338,562.76569,538.14935,562.07373
Central African Republic,1994,CAF,428.410967941564,0,0,1,0,1,420.31433,431.2131,473.74011,488.55289,510.36789,446.7666,417.80142,429.0256,438.45621,443.70367,422.86462
Switzerland,2008,CHE,78029.9777056133,1,1,0,0,0,76908.539,74617.445,72188.797,70617.086,69153.031,75458.484,77117.125,77729.047,77844.188,78356.047,79299.836
China,1998,CHN,1538.788932623487,0,1,0,0,0,1440.5969,1332.3502,1224.8519,1115.9878,998.50037,1642.4031,1767.8596,1901.3623,2061.1694,2253.9873,2467.2498
Cote d'Ivoire,1984,CIV,1684.988759088948,0,0,0,1,1,1804.7063,1959.3572,2041.9304,2061.2864,2419.6843,1691.9321,1681.132,1614.0497,1574.0476,1563.0126,1491.1228
Cote d'Ivoire,1988,CIV,1574.047591818254,0,1,0,0,1,1614.0497,1681.132,1691.9321,1684.9888,1804.7063,1563.0126,1491.1228,1438.9375,1385.0009,1334.5049,1299.9032
Cote d'Ivoire,1994,CIV,1299.90318960121,0,0,1,0,1,1334.5049,1385.0009,1438.9375,1491.1228,1563.0126,1346.9963,1405.0623,1412.8113,1438.8494,1421.7078,1356.5865
Cote d'Ivoire,2001,CIV,1326.127488526777,0,0,0,1,1,1356.5865,1421.7078,1438.8494,1412.8113,1405.0623,1275.3682,1231.719,1221.1572,1216.1871,1208.2645,1202.8882
Cote d'Ivoire,2010,CIV,1213.112999552115,0,0,0,1,1,1217.2079,1206.1508,1202.8882,1208.2645,1216.1871,1132.5486,1223.632,1299.8116,1379.1414,1463.7102,1529.5067
Cameroon,1987,CMR,1735.645923391903,0,1,0,0,1,1830.9791,1770.1405,1690.5974,1623.1488,1566.8495,1550.1116,1475.2421,1343.5101,1254.243,1180.2034,1055.7928
Cameroon,1994,CMR,1048.318923433287,0,0,1,0,1,1055.7928,1180.2034,1254.243,1343.5101,1475.2421,1055.2626,1072.0521,1098.7499,1118.6373,1136.6332,1146.5724
"Congo, Dem. Rep.",1976,COD,965.2010589692332,0,0,1,1,1,1048.5509,1134.3024,1129.8726,1073.0024,1100.4182,944.92474,869.06812,848.75403,844.50317,842.57147,818.23053
"Congo, Dem. Rep.",1983,COD,809.724442436442,0,1,1,0,1,818.23053,842.57147,844.50317,848.75403,869.06812,833.58472,816.14032,832.28302,831.65387,811.99854,777.25842
"Congo, Dem. Rep.",1989,COD,777.2584432654277,0,0,1,0,1,811.99854,831.65387,832.28302,816.14032,833.58472,702.13477,619.79633,533.53455,444.04669,411.49353,401.18552
"Congo, Dem. Rep.",1991,COD,619.7963134293833,0,1,0,0,0,702.13477,777.25842,811.99854,831.65387,832.28302,533.53455,444.04669,411.49353,401.18552,386.11292,355.52808
"Congo, Dem. Rep.",1994,COD,411.4935297904415,0,1,1,0,0,444.04669,533.53455,619.79633,702.13477,777.25842,401.18552,386.11292,355.52808,341.77783,319.56204,289.9863
"Congo, Dem. Rep.",1999,COD,319.5620450833973,0,0,1,0,0,341.77783,355.52808,386.11292,401.18552,411.49353,289.9863,276.14218,276.05591,282.64706,292.35089,300.56247
"Congo, Dem. Rep.",2009,COD,322.4182647500292,0,0,1,0,1,324.04031,315.26385,306.5282,300.56247,292.35089,334.02158,345.26611,357.5983,375.21918,397.34167,411.02063
"Congo, Dem. Rep.",2016,COD,407.2896276304523,0,0,1,0,0,411.02063,397.34167,375.21918,357.5983,345.26611,408.92477,418.9888,423.64026,,,
"Congo, Rep.",1986,COG,3182.234589718769,0,0,0,1,1,3513.2192,3657.4136,3518.5247,3421.9585,2850.6646,3101.687,3071.3967,3066.4629,3013.5747,3002.2295,2996.9683
"Congo, Rep.",1994,COG,2652.876458916292,0,0,1,0,1,2886.5334,2996.9683,3002.2295,3013.5747,3066.4629,2681.9971,2718.4683,2624.7258,2644.999,2503.1064,2616.1216
Colombia,1982,COL,3885.16795112881,0,1,0,0,0,3933.3777,3931.0344,3860.9934,3746.3909,3531.9658,3862.1597,3907.5969,3945.613,4090.5571,4224.1069,4309.1563
Colombia,1985,COL,3945.613006686457,0,0,1,0,0,3907.5969,3862.1597,3885.168,3933.3777,3931.0344,4090.5571,4224.1069,4309.1563,4369.0967,4467.3945,4468.2979
Colombia,1998,COL,5094.738925611185,0,1,0,0,1,5151.8867,5068,5055.2075,4894.2393,4713.3027,4801.0688,4862.876,4867.5825,4913.8574,5031.4922,5225.2451
Comoros,1994,COM,1248.961429768828,0,0,1,0,0,1356.7201,1355.8025,1286.3093,1400.2216,1372.261,1258.3544,1208.4668,1223.7842,1207.1879,1199.0778,1296.0557
Cabo Verde,1993,CPV,1075.686082139266,0,1,0,0,0,1018.1476,943.03784,952.75348,965.55505,928.74854,1246.7727,1387.5428,1508.8691,1640.4858,1808.8477,1973.8416
Costa Rica,1981,CRI,4750.260109955367,0,0,1,1,1,4993.6235,5091.667,4983.8052,4816.0015,4539.4082,4285.9019,4290.1772,4510.5645,4422.7603,4545.4937,4638.9038
Costa Rica,1987,CRI,4638.904029508367,0,1,0,0,1,4545.4937,4422.7603,4510.5645,4290.1772,4285.9019,4674.8389,4812.7954,4855.3115,4837.1597,5146.5132,5371.5815
Costa Rica,1991,CRI,4837.159480470698,0,0,1,0,1,4855.3115,4812.7954,4674.8389,4638.9038,4545.4937,5146.5132,5371.5815,5473.8687,5561.8438,5502.1943,5668.377
Costa Rica,1994,CRI,5473.868655699418,0,1,0,0,1,5371.5815,5146.5132,4837.1597,4855.3115,4812.7954,5561.8438,5502.1943,5668.377,5938.335,6058.7573,6170.9536
Cyprus,2013,CYP,27044.3046420299,1,0,0,1,1,28873.621,30363.508,31023.639,31216.768,32725.633,26843.416,27865.594,29523.865,30758.313,31977.811,32517.236
Czech Republic,1996,CZE,14162.08126522431,1,1,0,0,0,13566.923,12730.989,12375.546,12380.752,12456.515,14103.865,14066.897,14276.184,14889.07,15399.893,15671.851
Germany,2008,DEU,42142.08101438275,1,1,0,0,0,41662.121,40403.848,38874.668,38570.379,38114.133,39843.41,41572.457,44012.609,44113.906,44186.195,44974.629
Djibouti,1991,DJI,,0,1,0,0,0,,,,,,,,,,,
Dominica,2002,DMA,5402.868382583212,0,0,0,1,1,5573.5952,5578.8374,5437.3701,5390.7793,5164.6211,5724.6445,5875.3989,5897.7622,6160.5205,6544.5854,7007.4619
