Country,year,CAB,Infl,EXDEBT,LogInfl,AmountDrawnPercentAgreed,AmountAgreedPercentGDP,Shortterm,simple_conditions,DWDI,LGrowth1,LGrowth2,LGrowth3,LGrowth4,LGrowth5,FGrowth1,FGrowth2,FGrowth3,FGrowth4,FGrowth5,FGrowth6
Argentina,1998,-4.844316045419601,,,,0,.94377387,0,35,3.850179,8.1110468,5.52669,-2.8452096,5.8362007,8.2069788,-3.385457,-.78899896,-4.4088397,-10.894485,8.8370409,9.0295734
Argentina,2000,-3.159922377036764,,,,.57604212,7.8590217,1,58,-.78899896,-3.385457,3.850179,8.1110468,5.52669,-2.8452096,-4.4088397,-10.894485,8.8370409,9.0295734,8.8516598,8.0471516
Argentina,2001,-1.406947885001806,,,,.96521735,2.8837535,0,58,-4.4088397,-.78899896,-3.385457,3.850179,8.1110468,5.52669,-10.894485,8.8370409,9.0295734,8.8516598,8.0471516,9.0076513
Argentina,2003,6.379906801770106,,,,.56882256,12.245853,0,32,8.8370409,-10.894485,-4.4088397,-.78899896,-3.385457,3.850179,9.0295734,8.8516598,8.0471516,9.0076513,4.0572333,-5.9185252
Armenia,1995,-15.02924466497099,175.951325534583,25.2755457911796,5.1702075,.30769232,4.5330181,1,72,6.8999982,5.400003,-8.7999992,-41.800003,-11.699999,,5.8654008,3.3210797,7.3000002,3.3,5.9000001,9.6000004
Armenia,1996,-20.17628836126925,18.681185640036,31.70830706367668,2.9275169,1,9.9406805,0,68,5.8654008,6.8999982,5.400003,-8.7999992,-41.800003,-11.699999,3.3210797,7.3000002,3.3,5.9000001,9.6000004,13.2
Armenia,2001,-10.43981657171533,3.14590464685019,64.61173384680504,1.1461015,1,4.1463766,0,72,9.6000004,5.9000001,3.3,7.3000002,3.3210797,5.8654008,13.2,14,10.5,13.9,13.2,13.7
Armenia,2005,-2.528323919132022,.638928002410126,38.57503054784915,-.44796351,1,.6932025,0,58,13.9,10.5,14,13.2,9.6000004,5.9000001,13.2,13.7,6.9000001,-14.1,2.2,4.6999998
Armenia,2008,-14.22464793605433,8.949953353533861,29.24306817333199,2.1916482,.14239131,.1246536,0,38,6.9000001,13.7,13.2,13.9,10.5,14,-14.1,2.2,4.6999998,7.1999998,3.3,3.5999999
Armenia,2009,-16.4837122757881,3.40676682683799,54.7919797769223,1.2257637,.65671849,9.5083933,1,40,-14.1,6.9000001,13.7,13.2,13.9,10.5,2.2,4.6999998,7.1999998,3.3,3.5999999,3.2
Armenia,2010,-13.62194950160217,8.176361384739559,64.89816041435542,2.1012473,1,4.3957543,0,40,2.2,-14.1,6.9000001,13.7,13.2,13.9,4.6999998,7.1999998,3.3,3.5999999,3.2,.2
Armenia,2014,-7.767866537841162,2.98130868933673,70.41315396129298,1.0923624,1,1.0758792,0,,3.5999999,3.3,7.1999998,4.6999998,2.2,-14.1,3.2,.2,7.5,5.1999998,7.5999999,
Armenia,2019,,,,,0,,1,,7.5999999,5.1999998,7.5,.2,3.2,3.5999999,,,,,,
Antigua and Barbuda,2010,-14.49991327798141,3.3700254022015,,1.2149203,.64999998,8.9653883,1,28,-7.8405948,-11.962697,-.014340652,9.315383,12.708149,6.4738312,-1.9586127,3.3728662,-.60087639,3.7957277,3.8252931,5.4977884
Azerbaijan,1995,-13.12544677592843,411.759641777268,10.56253758429517,6.0204396,1,2.907335,1,93,-11.8,-19.700001,-23.099998,-22.6,-.70000017,,1.2999995,5.8000002,10.000001,7.3999996,11.099999,9.9000006
Azerbaijan,1996,-29.31284331405987,19.7948028061899,14.0729805967844,2.9854195,.88849443,6.9509854,0,93,1.2999995,-11.8,-19.700001,-23.099998,-22.6,-.70000017,5.8000002,10.000001,7.3999996,11.099999,9.9000006,9.4389162
Azerbaijan,2001,-.9067542986680712,1.54719590152275,28.21062136518772,.43644419,.20012429,1.7943406,0,50,9.9000006,11.099999,7.3999996,10.000001,5.8000002,1.2999995,9.4389162,10.2083,9.2538013,27.961538,34.466209,25.463217
Burundi,1965,,,,,.5,2.5158029,1,,,,,,,,4.6129928,13.821519,-.29788366,-1.4595412,21.32567,2.7468288
Burundi,1966,,4.43686006769086,,1.489947,.60000002,3.0221603,1,,4.6129928,,,,,,13.821519,-.29788366,-1.4595412,21.32567,2.7468288,-6.403965
Burundi,1967,,-1.08932461874256,,,.83333331,3.3651688,1,,13.821519,4.6129928,,,,,-.29788366,-1.4595412,21.32567,2.7468288,-6.403965,6.8890505
Burundi,1968,,6.05726872222524,,1.801259,.83333331,3.2751091,1,,-.29788366,13.821519,4.6129928,,,,-1.4595412,21.32567,2.7468288,-6.403965,6.8890505,-.72683954
Burundi,1969,,4.0238836973312,,1.3922476,.875,2.1029863,1,,-1.4595412,-.29788366,13.821519,4.6129928,,,21.32567,2.7468288,-6.403965,6.8890505,-.72683954,.69792026
Burundi,1970,,-.199650611430204,6.362709431299868,,1,.61796403,1,,21.32567,-1.4595412,-.29788366,13.821519,4.6129928,,2.7468288,-6.403965,6.8890505,-.72683954,.69792026,7.9426608
Burundi,1976,,6.8565515736454,5.116247691901701,1.9252046,0,1.6735457,1,,7.9426608,.69792026,-.72683954,6.8890505,-6.403965,2.7468288,11.469453,-.94057602,1.6649549,.99105573,12.163276,-1.0535998
Burundi,1986,-3.009424728121312,1.67567567567545,48.29728779587151,.51621646,.58734524,4.9680324,1,28,3.2501805,11.78318,.155544,3.715327,-1.0535998,12.163276,5.5030961,5.0310245,1.3495022,3.4998221,4.9968367,1.0099983
Burundi,1991,-2.85038738673383,8.99693873494325,83.33457050608276,2.1968844,.40304449,5.0042982,0,24,4.9968367,3.4998221,1.3495022,5.0310245,5.5030961,3.2501805,1.0099983,-6.2399998,-3.8299999,-7.9200001,-8,-1.59
Burundi,2004,-3.536558154251863,8.176429374820589,152.9279439306317,2.1012557,1,11.213412,0,55,4.8336577,-1.2237279,4.4465194,2.0558071,-.85686404,-1.01,.89999998,5.4138069,3.4519525,4.8617129,3.812747,5.1241632
Burundi,2008,-16.09073392122676,24.4069510353914,86.48570941202787,3.1948681,1,5.0192709,0,44,4.8617129,3.4519525,5.4138069,.89999998,4.8336577,-1.2237279,3.812747,5.1241632,4.0326023,4.4467082,4.9241953,4.2406516
Burundi,2012,-11.19257455028858,18.1610453065451,28.67962391257455,2.8992789,.75,2.6257787,0,45,4.4467082,4.0326023,5.1241632,3.812747,4.8617129,3.4519525,4.9241953,4.2406516,-3.9000032,-.60001999,.50001001,1.6099331
Benin,1989,-.8934689960443767,,73.09095715726998,,.71428573,1.869354,0,24,-2.8541605,3.4052453,-1.500003,2.1711416,7.5303249,7.9298396,8.9761343,4.2257996,2.9577107,5.8361721,2.0204005,6.0451984
