Country,year,GrowthPWT,L1Growth,F1Growth,L2Growth,F2Growth,L3Growth,F3Growth,L4Growth,F4Growth,L5Growth,F5Growth
Bolivia,1980,-1.381265759,0.133255228,0.92054075,2.031906605,-4.45704174,4.851602554,-4.56528759,4.511263371,-0.603348136,7.056107044,-0.970117211
Bolivia,1981,0.92054075,-1.381265759,-4.45704174,0.133255228,-4.56528759,2.031906605,-0.603348136,4.851602554,-0.970117211,4.511263371,-2.522404671
Bolivia,1986,-2.522404671,-0.970117211,2.568090677,-0.603348136,2.916075945,-4.56528759,3.720366001,-4.45704174,4.530923367,0.92054075,5.12997818
Bolivia,1994,4.566487312,4.178017139,4.568533897,1.635174036,4.271017551,5.12997818,4.835390568,4.530923367,4.9069767,3.720366001,0.425974011
Brazil,1976,9.803372383,5.069316864,4.783733845,7.881112099,4.879012108,13.10282803,6.578779697,11.24354553,8.801083565,10.70590305,-4.395187855
Brazil,1982,0.796815455,-4.395187855,-2.94288063,8.801083565,5.259245396,6.578779697,7.51074934,4.879012108,7.232068539,4.783733845,3.440140963
Brazil,1983,-2.94288063,0.796815455,5.259245396,-4.395187855,7.51074934,8.801083565,7.232068539,6.578779697,3.440140963,4.879012108,-0.100049987
Brazil,1987,3.440140963,7.232068539,-0.100049987,7.51074934,3.149862051,5.259245396,-4.395184517,-2.94288063,0.995031476,0.796815455,-0.501253068
Brazil,1990,-4.395184517,3.149862051,0.995031476,-0.100049987,-0.501253068,3.440140963,4.783733368,7.232068539,5.732505322,7.51074934,4.114192963
Brazil,1992,-0.501253068,0.995031476,4.783733368,-4.395184517,5.732505322,3.149862051,4.114192963,-0.100049987,2.176148415,3.440140963,3.343479156
Brazil,1994,5.732505322,4.783733368,4.114192963,-0.501253068,2.176148415,0.995031476,3.343479156,-4.395184517,0.399204999,3.149862051,0.498755068
Brazil,1999,0.498755068,0.399204999,4.305949688,3.343479156,1.291619658,2.176148415,3.052922964,4.114192963,1.192852378,5.732505322,5.543476582
Botswana,1984,12.75949955,11.24202824,8.82756424,8.099485397,7.0806036,11.10262775,7.903960705,11.52785969,11.53190899,13.35376263,28.72282028
Central African Republic,1976,4.344360352,1.803688407,7.734336853,-3.02837038,1.201972723,4.428283215,-2.495957136,-1.991598248,-4.581991196,-3.08286643,1.535992265
Central African Republic,1994,5.046904087,-0.349000037,5.02466011,-1.339719176,-7.848290443,1.172938704,5.94078207,-1.557148576,4.452047348,2.445247173,5.768478394
Central African Republic,1995,5.02466011,5.046904087,-7.848290443,-0.349000037,5.94078207,-1.339719176,4.452047348,1.172938704,5.768478394,-1.557148576,1.903653383
Switzerland,2008,2.251695633,4.05693388,-2.152620077,3.934362888,2.911032438,2.993064642,1.788465381,2.803282499,1.118350863,0.049696941,1.753370404
Chile,1972,-1.220586061,8.576685905,-5.72585535,2.142944813,0.969731748,3.676882505,-13.82299423,3.428910255,3.457510948,3.149862051,9.402701378
Chile,1976,3.457510948,-13.82299423,9.402701378,0.969731748,7.89713192,-5.72585535,7.956410885,-1.220586061,7.645133495,8.576685905,6.027069092
Chile,1981,6.027069092,7.645133495,-14.60444927,7.956410885,-2.842049599,7.89713192,5.718747139,9.402701378,1.949303865,3.457510948,5.445245743
Chile,1982,-14.60444927,6.027069092,-2.842049599,7.645133495,5.718747139,7.956410885,1.949303865,7.89713192,5.445245743,9.402701378,6.385961056
Chile,1983,-2.842049599,-14.60444927,5.718747139,6.027069092,1.949303865,7.645133495,5.445245743,7.956410885,6.385961056,7.89713192,7.056361198
China,1998,0.405549049,6.807449818,5.762203217,3.655664444,6.160192013,12.64657402,6.71741724,8.031737328,10.23574162,10.23792458,8.634755135
Côte d'Ivoire,1984,-2.73812294,-3.977791786,4.402280331,0.200685486,3.206626892,3.440118551,-0.337929428,-11.60445595,1.101159334,2.365912914,11.23447895
Côte d'Ivoire,1988,1.101159334,-0.337929428,11.23447895,3.206626892,-1.238049984,4.402280331,0.056603845,-2.73812294,-0.624466002,-3.977791786,-0.399436444
Côte d'Ivoire,1994,2.121423244,-0.399436444,6.81528616,-0.624466002,6.527357578,0.056603845,5.526119232,-1.238049984,5.001648426,11.23447895,1.924627781
Côte d'Ivoire,2001,0.115913577,-2.704527617,-1.68136394,1.924627781,-1.372124553,5.001648426,1.225144386,5.526119232,1.70841372,6.527357578,0.69575882
Cameroon,1987,-5.767124176,-5.399806023,-3.84662199,2.324594498,-3.19664073,7.738565445,-0.597217619,8.068518639,-3.836713552,7.183973312,-3.097637415
Cameroon,1989,-3.19664073,-3.84662199,-0.597217619,-5.767124176,-3.836713552,-5.399806023,-3.097637415,2.324594498,-3.209048271,7.738565445,-0.121645518
Cameroon,1994,-0.121645518,-3.209048271,3.973940372,-3.097637415,4.913468361,-3.836713552,5.177771091,-0.597217619,4.77930212,-3.19664073,3.981939316
Cameroon,1995,3.973940372,-0.121645518,4.913468361,-3.209048271,5.177771091,-3.097637415,4.77930212,-3.836713552,3.981939316,-0.597217619,4.088844299
