Country,year,pop,Gshare,GDPRank,CAB,EXDEBT,ToT,Infl,Fcast5,Fcast4,Fcast3,Fcast2,Fcast1,nowcast,Banking,Currency,Debt,CPIA,RateRegime,DPWT,LGrowth1,LGrowth2,LGrowth3,LGrowth4,LGrowth5,GrowthFall,FGrowth1,FGrowth2,FGrowth3,FGrowth4,FGrowth5,IMF
BANGLADESH  ,1987,98.14926199999999,.13248873,.12209715,-1.723856908114399,31.60637159326427,85.82462905367274,.10162991,,,,,,,1,0,0,2.7,7,4.0964127,4.2482376,2.9673576,5.2835464,4.7776222,1.2226105,1.5911102,2.8499603,2.4884224,6.4170837,3.3432961,4.1404724,1
Bulgaria,1990,8.821111,.42332199,1.1135041,-8.650414126528318,52.81305254450142,70.16806683422004,.64325082,,2.0000017,1.9999981,2.0000024,1.999997,-4.9999971,0,0,1,,14,-9.5601082,-3.3452988,10.386181,5.8783531,4.1214943,2.6480675,-12.208176,-8.8233948,-7.5285912,-1.4914513,1.8018723,2.820015,1
Bulgaria,1996,8.274661999999999,.23720321,.73107338,4.65140029296278,101.1644298064954,87.70776520746753,3.108,5.5000024,3.9999959,3.5000029,2.9999952,2.4999986,0,1,1,0,,14,-9.8684311,2.820015,1.8018723,-1.4914513,-7.5285912,-8.8233948,10.41069,-1.0947227,3.4042358,-6.1981201,4.8894882,4.1602135,1
BOSNIA & HERZEGOVINA,1992,4.301169,.61310673,.11773151,,,,,,,,,,,1,0,0,,15,-6.6534042,-9.8142624,,,,,,-2.2054672,10.55479,18.89658,43.30759,31.218815,0
Belarus,1994,10.190064,.45997682,.71544093,-2.936554739770688,16.97550965498355,67.41927469210798,19.597038,,4.499999,2.000001,-2.0000007,-5.9999976,-17.099998,0,1,0,,14,-12.424374,-7.8619003,-10.141373,-1.3954163,,,,-11.03487,2.7386665,10.814857,8.1068039,3.3904076,1
Belarus,1999,10.005259,.33514887,.61736524,-1.600845792951969,18.38617261528263,75.64531528594115,2.511956,4.4999962,1.4999989,2.000001,1.9999976,0,-2.0000026,0,1,0,,14,3.3904076,8.1068039,10.814857,2.7386665,-11.03487,-12.424374,15.786552,5.6263924,4.6313286,4.8471451,6.7511559,10.753059,0
Belarus,2009,9.505319,.23489815,.81205511,-12.02610548971489,43.26072099033135,100,.10113104,2.5,6.4751291,5.7205887,5.1682115,1.812423,-1.1567391,0,1,0,,4,.15077591,9.7533226,8.2064629,9.5523834,8.9727402,10.753059,-10.640526,7.4557304,5.3956032,1.730442,1.0038376,1.5869141,1
BOLIVIA     ,1973,4.798509999999999,.18006112,.18851903,,,,,,,,,,,0,1,0,,,5.5805206,7.6660156,4.93927,-1.3225555,2.9857635,-14.592552,18.556213,2.8971672,7.0561409,4.511261,4.851532,2.0319939,0
BOLIVIA     ,1980,5.589572,.20278628,.18609543,-.2000526695317339,70.49505692555593,107.228084335491,.2393035,,,,,,,0,0,1,2.5,14,-1.3813019,.1332283,2.0319939,4.851532,4.511261,7.0561409,-8.4373474,.92058182,-4.4570923,-4.565239,-.60338974,-.97007751,1
BOLIVIA     ,1986,6.337892999999999,.19576849,.22740915,-7.599999586434178,96.58404139886574,99.68551520334638,.64646506,,,,,,,1,0,0,3,14,-2.5224686,-.97007751,-.60338974,-4.565239,-4.4570923,.92058182,-2.8827667,2.5681496,2.91605,3.7203789,4.5309067,5.1300049,1
BOLIVIA     ,1994,7.418863999999999,.28827327,.24037087,-3.988628502994819,75.02453564522425,68.55594307128411,.085228615,,4.4999933,4.5000014,4.4999952,4.3000116,3.9999974,1,0,0,3.4,7,4.5664787,4.1780472,1.63517,5.1300049,4.5309067,3.7203789,.84171295,4.5684814,4.2710304,4.8354149,4.9069405,.42600632,1
Brazil,1976,111.07606,.10593854,.5062266,-6.456377219259199,33.94159261730236,108.0239083812174,,,,,,,,0,1,0,,14,9.8033905,5.0692558,7.8811646,13.102818,11.243534,10.705948,-1.3612747,4.7837257,4.8789978,6.5788269,8.8010788,-4.3951988,0
Brazil,1982,128.05476,.069981083,.53346682,-8.724760506825504,44.21545005468555,122.3779554647799,1.0480406,,,,,,,0,1,0,,14,.79679489,-4.3951988,8.8010788,6.5788269,4.8789978,4.7837257,-3.924942,-2.9428482,5.2592278,7.5107574,7.2320938,3.440094,1
Brazil,1987,142.43748,.096418001,.63422751,-.4799505739258614,40.53257856592266,118.5258445299551,3.634135,,,,,,,0,1,0,,14,3.440094,7.2320938,7.5107574,5.2592278,-2.9428482,.79679489,2.9579163,-.10004044,3.1498909,-4.3951988,.99506378,-.50134659,1
Brazil,1990,150.39314,.11619119,.54532689,-.7966433280324562,25.9805700143974,116.6185036358739,16.209665,,5.9999986,6.000001,5.9999976,2.0000007,-1.9999988,1,0,0,,14,-4.3951988,3.1498909,-.10004044,3.440094,7.2320938,7.5107574,-10.797501,.99506378,-.50134659,4.7838211,5.7324409,4.1142464,0
Brazil,1992,155.37901,.14746818,.59372079,1.539782937869319,34.0654109919376,116.599621026266,11.190925,,4.9979138,5.0028253,5.0023079,2.9975522,1.0023386,0,1,0,,14,-.50134659,.99506378,-4.3951988,3.1498909,-.10004044,3.440094,-4.0044785,4.7838211,5.7324409,4.1142464,2.1760941,3.3434868,1
Brazil,1994,160.26051,.19733705,.6808967,-.3010378164576239,26.5583643265804,118.5550789143876,9.1643286,,4.9950509,4.9999943,3.502887,2.002974,2.9999955,1,0,0,,14,5.7324409,4.7838211,-.50134659,.99506378,-4.3951988,3.1498909,1.9702911,4.1142464,2.1760941,3.3434868,.39920807,.49877167,0
Botswana,1984,1.144716,.33649775,.27836114,-4.891921399697921,33.25802875383725,71.8888831681633,.064999998,,,,,,,0,1,0,,8,12.759495,11.242104,8.0994606,11.102581,11.52792,13.353729,-3.2655716,8.8274956,7.0806503,7.9039574,11.531925,28.722763,0
CENTRAL AFR. REP.,1976,2.061552,.25871444,.11361764,14.3397834655628,18.93572992896293,97.93629643480463,,,,,,,,1,0,0,,1,4.344368,1.8036842,-3.0283928,4.4282913,-1.9916058,-3.0828476,4.1662216,7.7343464,1.2019634,-2.4959564,-4.5819759,1.5359879,0
CENTRAL AFR. REP.,1994,3.253698,.208894,.093675263,.8064992069999799,94.22135845749776,131.4731881101413,.44749597,,3.0000036,3.0000005,5.0000005,5.0000019,5.4999943,0,1,0,2.3,1,5.0469398,-.34899712,-1.3397217,1.172924,-1.5571117,2.4452209,2.825737,5.0246239,-7.8483105,5.9407711,4.4520378,5.7684898,1
Chile,1972,9.916558,.21022128,.79676676,,,,,,,,,,,0,1,0,,,-1.2206078,8.5766792,2.1429062,3.6768913,3.428936,3.1498909,-4.5772552,-5.7258606,.96979141,-13.823032,3.4575462,9.4026566,0
Chile,1976,10.584237,.26156148,.55108637,1.435940051005686,45.7948470450494,65.38196255141813,1.743205,,,,,,,1,0,0,,14,3.4575462,-13.823032,.96979141,-5.7258606,-1.2206078,8.5766792,-5.2436829,9.4026566,7.8971863,7.9564095,7.6451302,6.0270309,0
