Country,year,Country_code,CAB,Infl,EXDEBT,rgdpe,pop,Gshare,GDPRank,advecon,Banking,Currency,Debt,Region,AmountAgreedPercentGDP,WGI,conditions,DPWT,LGrowth1,LGrowth2,LGrowth3,LGrowth4,LGrowth5,FGrowth1,FGrowth2,FGrowth3,FGrowth4,FGrowth5,FGrowth6,FGrowth7,IMF
Bangladesh,1987,BGD,-.9758650692823827,9.87469609126641,39.1603036422247,118454.85,98.343811,.13929662,.12252321,0,1,0,0,Asia,1.0709995,-.73224235,53,4.1814246,4.3397722,3.0118847,5.4256015,4.8935695,1.2301425,2.8909373,2.5196931,6.6274781,3.3998199,4.2272949,4.5747151,4.0846844,1
Bulgaria,1990,BGR,-8.288059642304795,23.8000000000003,57.3261240943265,89570.336,8.8413706,.48637664,.9467442,0,0,0,1,Europe,3.4880321,.1073689,58,-9.117382,-3.2898796,10.944691,6.0545135,4.2076073,2.68344,-8.4453526,-7.2521777,-1.4803411,1.8181306,2.8602273,-9.3971329,-1.0888106,1
Bulgaria,1996,BGR,.1288476265165844,121.60754244925,87.95088325825859,59801.703,8.291872,.26897842,.62145615,0,1,1,0,Europe,4.7657423,.1073689,158,-9.3971329,2.8602273,1.8181306,-1.4803411,-7.2521777,-8.4453526,-1.0888106,3.4627242,-6.0098419,4.9405451,3.7702246,5.9375172,5.1562109,1
Bosnia and Herzegovina,1992,BIH,,,,5171.4561,4.2391539,.55500489,.11562835,0,1,0,0,Europe,,-.69180512,0,-6.4369087,-9.3480234,,,,,-2.1813455,11.131959,20.800009,54.199299,36.641125,16.616377,9.5215664,0
Belarus,1995,BLR,-3.279972801331104,709.346032118606,12.16621830873481,77292.5,10.142308,.45313159,.68564475,0,1,0,0,Europe,2.1310163,-.80565321,77,-10.447809,-11.683521,-7.5608444,-9.6440821,-1.3856856,,2.7764664,11.421385,8.4444332,3.4486096,5.7875886,4.7253089,5.0083857,1
Belarus,1997,BLR,-6.081364337704114,63.9373663357479,14.82751490088176,79577.117,10.073061,.36188549,.65866482,0,0,1,0,Europe,,-.80565321,0,11.421385,2.7764664,-10.447809,-11.683521,-7.5608444,-9.6440821,8.4444332,3.4486096,5.7875886,4.7253089,5.0083857,6.9947152,11.427111,0
Belarus,2009,BLR,-12.05446906320092,12.9456563410401,44.37002285158447,138526.83,9.4862394,.22141235,.8380565,0,0,1,0,Europe,6.8744941,-.80565321,53,.15412264,10.244223,8.5783358,9.9979334,9.4413548,11.427111,7.74999,5.545217,1.747529,.95089895,1.7469802,-3.8295774,-2.4636228,1
Belarus,2015,BLR,-3.243306375577927,13.5344897649734,70.8541035115196,161395.7,9.4857721,.15897053,.85873806,0,0,1,0,Europe,,-.80565321,,-3.8295774,1.7469802,.95089895,1.747529,5.545217,7.74999,-2.4636228,2.4497039,,,,,,0
Belize,2007,BLZ,-4.036286673092546,,95.04307534599002,2316.5027,.29840699,.18785763,.4319095,0,0,0,1,LatAm,,-.31318158,0,1.210556,4.697207,2.9715312,4.6480918,9.3264685,5.1213102,2.6145158,.71302962,3.3239274,2.1867211,3.7147639,.71585548,4.0452762,0
Belize,2012,BLZ,-2.117440219100517,,82.86971384216059,2661.6465,.33670101,.18700698,.40153021,0,0,0,1,LatAm,,-.31318158,0,3.7147639,2.1867211,3.3239274,.71302962,2.6145158,1.210556,.71585548,4.0452762,3.7950218,-.48726308,.48149443,,,0
Belize,2017,BLZ,-7.02681788887321,,80.13692106304802,3207.8691,.374681,.23779379,.4175345,0,0,0,1,LatAm,,-.31318158,,.48149443,-.48726308,3.7950218,4.0452762,.71585548,3.7147639,,,,,,,,0
Bolivia,1973,BOL,,31.4860287891619,64.59340431456681,8816.5781,4.7985091,.18305355,.1942859,0,0,1,0,LatAm,2.5768805,-.46282858,,5.7391572,7.9674797,5.0633397,-1.3138974,3.0308392,-13.577813,2.9395673,7.3110218,4.6145716,4.9712152,2.0526888,.13334876,-1.3717772,1
