Country,year,AmountAgreedPercentGDP,DWDI,LGrowth1,LGrowth2,LGrowth3,LGrowth4,LGrowth5,FGrowth1,FGrowth2,FGrowth3,FGrowth4,FGrowth5,FGrowth6
Bulgaria,2002,1.9092683,5.9375162,3.7702179,4.7657709,-8.4081345,6.348979,-1.0888202,5.1562185,6.4353585,7.1235113,6.8743582,7.3444219,6.0218835
Bulgaria,2004,.57052809,6.4353585,5.1562185,5.9375162,3.7702179,4.7657709,-8.4081345,7.1235113,6.8743582,7.3444219,6.0218835,-3.5861456,1.3240879
Bosnia and Herzegovina,1998,3.1111107,15.599997,34.389576,88.957664,20.800001,,,9.5999994,5.5000005,4.3999996,5.3000002,4,6.099967
Bosnia and Herzegovina,2002,1.3160378,5.3000002,4.3999996,5.5000005,9.5999994,15.599997,34.389576,4,6.099967,8.7592564,5.4172697,5.8555851,5.4267268
Bosnia and Herzegovina,2009,8.8765612,-3.0027525,5.4267268,5.8555851,5.4172697,8.7592564,6.099967,.76724869,.9082492,-.69962233,2.3510365,1.1480342,3.0882227
Bosnia and Herzegovina,2012,4.9616017,-.69962233,.9082492,.76724869,-3.0027525,5.4267268,5.8555851,2.3510365,1.1480342,3.0882227,3.1456513,2.1276457,3.6235461
Belarus,1995,2.1310163,-10.400001,-11.700004,-7.6000018,-9.6000013,-1.1999955,,2.8000047,11.400005,8.399991,3.3999991,5.8000035,4.725306
Belarus,2009,6.8744941,.19999531,10.2,8.6000061,9.9999952,9.4000015,11.449743,7.7982669,5.3787074,1.6871356,1.0034709,1.7263849,-3.8295705
Belize,1984,3.4066286,1.972065,-2.1431799,-.10771043,1.1337708,13.436682,7.5170217,1.0125139,4.5394568,10.735304,9.7877111,13.009221,11.443389
Bolivia,1965,2.3164346,,,,,,,7.1705894,6.3172197,8.5294428,4.4740973,5.2310295,5.0633364
Bolivia,1966,2.6898112,7.1705894,,,,,,6.3172197,8.5294428,4.4740973,5.2310295,5.0633364,7.9674854
Bolivia,1967,2.6461744,6.3172197,7.1705894,,,,,8.5294428,4.4740973,5.2310295,5.0633364,7.9674854,5.7391615
Bolivia,1969,2.1513944,4.4740973,8.5294428,6.3172197,7.1705894,,,5.2310295,5.0633364,7.9674854,5.7391615,2.9395678,7.3110175
Bolivia,1973,2.5768805,5.7391615,7.9674854,5.0633364,5.2310295,4.4740973,8.5294428,2.9395678,7.3110175,4.6145673,4.9712157,2.0526946,.13334404
Bolivia,1980,1.9083421,-1.3717752,.13334404,2.0526946,4.9712157,4.6145673,7.3110175,.27562001,-3.938741,-4.0421185,-.20067599,-1.6763872,-2.5738745
Bolivia,2003,1.4859426,2.7113407,2.4855649,1.6838009,2.5078075,.42688957,5.0293522,4.1732945,4.4214349,4.797009,4.5643826,6.1484971,3.3570013
Brazil,1965,.57365674,,,,,,,4.1503601,4.9152656,11.427282,9.7358265,8.7699471,11.295087
Brazil,1966,.46189007,4.1503601,,,,,,4.9152656,11.427282,9.7358265,8.7699471,11.295087,12.052802
Brazil,1967,.098065384,4.9152656,4.1503601,,,,,11.427282,9.7358265,8.7699471,11.295087,12.052802,13.978692
Brazil,1968,.25829586,11.427282,4.9152656,4.1503601,,,,9.7358265,8.7699471,11.295087,12.052802,13.978692,9.04212
Brazil,1969,.13347964,9.7358265,11.427282,4.9152656,4.1503601,,,8.7699471,11.295087,12.052802,13.978692,9.04212,5.2090759
Brazil,1970,.11812624,8.7699471,9.7358265,11.427282,4.9152656,4.1503601,,11.295087,12.052802,13.978692,9.04212,5.2090759,9.79041
Brazil,1971,.10192001,11.295087,8.7699471,9.7358265,11.427282,4.9152656,4.1503601,12.052802,13.978692,9.04212,5.2090759,9.79041,4.606318
Brazil,1972,.092734523,12.052802,11.295087,8.7699471,9.7358265,11.427282,4.9152656,13.978692,9.04212,5.2090759,9.79041,4.606318,3.2317095
Brazil,1988,.44580537,-.10267272,3.5996294,7.9882951,7.9458618,5.2691431,-3.4097934,3.2794588,-3.102356,1.5119373,-.46691322,4.6651688,5.3345518
Brazil,1992,.52734971,-.46691322,1.5119373,-3.102356,3.2794588,-.10267272,3.5996294,4.6651688,5.3345518,4.4167314,2.2075355,3.394846,.3380979
Brazil,1998,3.47733,.3380979,3.394846,2.2075355,4.4167314,5.3345518,4.6651688,.46793756,4.3879495,1.3898964,3.0534618,1.140829,5.7599645
Brazil,2001,5.0285177,1.3898964,4.3879495,.46793756,.3380979,3.394846,2.2075355,3.0534618,1.140829,5.7599645,3.2021313,3.9619887,6.0698705
Brazil,2002,8.9179182,3.0534618,1.3898964,4.3879495,.46793756,.3380979,3.394846,1.140829,5.7599645,3.2021313,3.9619887,6.0698705,5.0941954
Barbados,1982,3.5566878,-4.9009385,-1.8997515,4.373065,7.8930082,4.8769393,3.6422057,.50125313,3.600374,1.0982398,5.1041665,2.5909669,3.5053823
Barbados,1992,1.7246411,-5.6925206,-3.8999069,-3.3075933,3.5999999,3.5053823,2.5909669,.79306799,2.0107825,2.013998,3.9764771,4.7401023,3.7284648
Central African Republic,1980,.65317529,-4.4786386,-2.4651377,1.2092354,3.8062348,5.432519,.4049871,-1.5444657,7.7157836,-8.1265135,9.4817266,3.9272196,3.5779793
