Country,year,IMFsizeGDP,DPWT,LGrowth1,LGrowth2,LGrowth3,LGrowth4,LGrowth5,FGrowth1,FGrowth2,FGrowth3,FGrowth4,FGrowth5,FGrowth6
BOSNIA & HERZEGOVINA,2009,9.036996162991207,-2.9118538,5.3365707,5.5706024,5.5356026,3.827095,6.1230659,.7642746,.90417862,-.93755722,2.3659706,1.2383461,
BOSNIA & HERZEGOVINA,2012,4.982433558069174,-.93755722,.90417862,.7642746,-2.9118538,5.3365707,5.5706024,2.3659706,1.2383461,,,,
Belarus,1995,2.771071763696156,-11.03487,-12.424374,-7.8619003,-10.141373,-1.3954163,,2.7386665,10.814857,8.1068039,3.3904076,5.6263924,4.6313286
Belarus,2009,6.977087829057248,.15077591,9.7533226,8.2064629,9.5523834,8.9727402,10.753059,7.4557304,5.3956032,1.730442,1.0038376,1.5869141,
Belize,1984,3.311520112981513,1.9631863,-2.1763802,-.28347969,1.3059616,4.2796135,3.7958145,1.0142803,4.497242,10.650349,8.7968826,12.238932,10.85906
BOLIVIA     ,1980,2.358670231797568,-1.3813019,.1332283,2.0319939,4.851532,4.511261,7.0561409,.92058182,-4.4570923,-4.565239,-.60338974,-.97007751,-2.5224686
BOLIVIA     ,1986,1.774180450045892,-2.5224686,-.97007751,-.60338974,-4.565239,-4.4570923,.92058182,2.5681496,2.91605,3.7203789,4.5309067,5.1300049,1.63517
BOLIVIA     ,2003,2.676995019913951,2.6752472,2.4551392,1.6697884,2.4768829,.42600632,4.9069405,4.0885925,4.3263435,4.6855927,4.4631958,5.9669495,3.3020973
Brazil,1988,.4415656656896211,-.10004044,3.440094,7.2320938,7.5107574,5.2592278,-2.9428482,3.1498909,-4.3951988,.99506378,-.50134659,4.7838211,5.7324409
Brazil,1992,.5168107660498039,-.50134659,.99506378,-4.3951988,3.1498909,-.10004044,3.440094,4.7838211,5.7324409,4.1142464,2.1760941,3.3434868,.39920807
Brazil,1998,1.69805086607019,.39920807,3.3434868,2.1760941,4.1142464,5.7324409,4.7838211,.49877167,4.3059349,1.2916565,3.0529022,1.1928558,5.5434227
Brazil,2001,2.725488296599122,1.2916565,4.3059349,.49877167,.39920807,3.3434868,2.1760941,3.0529022,1.1928558,5.5434227,3.0529976,3.922081,5.8268547
Brazil,2002,7.300349917779283,3.0529022,1.2916565,4.3059349,.49877167,.39920807,3.3434868,1.1928558,5.5434227,3.0529976,3.922081,5.8268547,4.8789978
Barbados,1982,3.003633013576927,-5.024147,-1.9182682,4.3059349,7.6035023,4.7837257,3.5367012,.49877167,3.5367012,1.0940075,4.9742222,2.5667667,3.4401417
Barbados,1992,1.678381428371284,-7.2570801,-3.9780617,-3.3556938,3.5367012,3.4401417,2.5667667,1.1928558,3.7295818,1.980257,3.922081,4.5928955,3.6331654
CENTRAL AFR. REP.,1981,1.628795706004633,1.5359879,-4.5819759,-2.4959564,1.2019634,7.7343464,4.344368,1.7802238,-6.291008,6.9761276,3.2821655,3.5154343,-5.0566673
CENTRAL AFR. REP.,1983,2.731338248639027,-6.291008,1.7802238,1.5359879,-4.5819759,-2.4959564,1.2019634,6.9761276,3.2821655,3.5154343,-5.0566673,2.0628452,2.4452209
CENTRAL AFR. REP.,1984,2.193015028113072,6.9761276,-6.291008,1.7802238,1.5359879,-4.5819759,-2.4959564,3.2821655,3.5154343,-5.0566673,2.0628452,2.4452209,-1.5571117
CENTRAL AFR. REP.,1985,1.866271010587072,3.2821655,6.9761276,-6.291008,1.7802238,1.5359879,-4.5819759,3.5154343,-5.0566673,2.0628452,2.4452209,-1.5571117,1.172924
CENTRAL AFR. REP.,1994,2.803642010650324,5.0469398,-.34899712,-1.3397217,1.172924,-1.5571117,2.4452209,5.0246239,-7.8483105,5.9407711,4.4520378,5.7684898,1.9037247
CENTRAL AFR. REP.,2014,,1.0052681,-44.702339,2.857399,2.0197868,3.5021782,1.8888474,,,,,,
CENTRAL AFR. REP.,2015,,,1.0052681,-44.702339,2.857399,2.0197868,3.5021782,,,,,,
Chile,1975,1.225271202112862,-13.823032,.96979141,-5.7258606,-1.2206078,8.5766792,2.1429062,3.4575462,9.4026566,7.8971863,7.9564095,7.6451302,6.0270309
Chile,1983,2.532183424305175,-2.8420448,-14.604473,6.0270309,7.6451302,7.9564095,7.8971863,5.7188034,1.9493103,5.4451942,6.385994,7.0563316,10.039043
COTE D'IVOIRE,1984,1.204123078738016,-2.7381897,-3.9777756,.20074844,3.440094,-11.6045,2.3659706,4.402256,3.2066345,-.33788681,1.1011124,11.234474,-1.2379646
COTE D'IVOIRE,1985,1.052818871509002,4.402256,-2.7381897,-3.9777756,.20074844,3.440094,-11.6045,3.2066345,-.33788681,1.1011124,11.234474,-1.2379646,.056552887
COTE D'IVOIRE,1986,1.331558617241939,3.2066345,4.402256,-2.7381897,-3.9777756,.20074844,3.440094,-.33788681,1.1011124,11.234474,-1.2379646,.056552887,-.62446594
COTE D'IVOIRE,1988,1.238398171061633,1.1011124,-.33788681,3.2066345,4.402256,-2.7381897,-3.9777756,11.234474,-1.2379646,.056552887,-.62446594,-.3993988,2.1213531
COTE D'IVOIRE,1989,1.971180510216043,11.234474,1.1011124,-.33788681,3.2066345,4.402256,-2.7381897,-1.2379646,.056552887,-.62446594,-.3993988,2.1213531,6.8153381
COTE D'IVOIRE,1991,1.124119551828353,.056552887,-1.2379646,11.234474,1.1011124,-.33788681,3.2066345,-.62446594,-.3993988,2.1213531,6.8153381,6.5273285,5.5261612
COTE D'IVOIRE,2011,3.107673551840027,-4.4863701,1.9974709,3.1997681,6.264782,1.5936852,.69570541,10.171223,8.8180542,8.1890106,,,
CAMEROON    ,1988,.584844216890258,-3.8466454,-5.7671547,-5.3997993,2.3245811,7.7385902,8.0685616,-3.1966209,-.59719086,-3.8367271,-3.0976295,-3.2090187,-.12168884
CAMEROON    ,1991,.2830208384713955,-3.8367271,-.59719086,-3.1966209,-3.8466454,-5.7671547,-5.3997993,-3.0976295,-3.2090187,-.12168884,3.9739609,4.9134254,5.177784
CAMEROON    ,1994,1.285216402859116,-.12168884,-3.2090187,-3.0976295,-3.8367271,-.59719086,-3.1966209,3.9739609,4.9134254,5.177784,4.7793388,3.9818764,4.0888786
CAMEROON    ,1995,1.150623248725685,3.9739609,-.12168884,-3.2090187,-3.0976295,-3.8367271,-.59719086,4.9134254,5.177784,4.7793388,3.9818764,4.0888786,4.4153214
"CONGO, DEM. REP.",1977,.1090588926933944,.75798035,-5.4552078,-5.1099777,3.0825615,7.8231812,.15106201,-5.4934502,.42915344,2.1711349,2.3233414,-.45871735,1.4018059
"CONGO, DEM. REP.",1979,.2149660240902604,.42915344,-5.4934502,.75798035,-5.4552078,-5.1099777,3.0825615,2.1711349,2.3233414,-.45871735,1.4018059,5.3930283,.46672821
"CONGO, DEM. REP.",1983,.455735304521719,1.4018059,-.45871735,2.3233414,2.1711349,.42915344,-5.4934502,5.3930283,.46672821,4.6093941,2.6404381,.46930313,-1.2742043
"CONGO, DEM. REP.",1985,.5570660459315755,.46672821,5.3930283,1.4018059,-.45871735,2.3233414,2.1711349,4.6093941,2.6404381,.46930313,-1.2742043,-6.7938805,-8.7968826
"CONGO, DEM. REP.",1986,.7310494182187287,4.6093941,.46672821,5.3930283,1.4018059,-.45871735,2.3233414,2.6404381,.46930313,-1.2742043,-6.7938805,-8.7968826,-11.093235
"CONGO, DEM. REP.",1989,.3823668018463632,-1.2742043,.46930313,2.6404381,4.6093941,.46672821,5.3930283,-6.7938805,-8.7968826,-11.093235,-14.466763,-3.9780617,.6975174
"CONGO, DEM. REP.",2009,2.965439939202558,2.8158188,6.0386658,6.0713768,5.1841736,5.9550285,6.5218925,6.8667412,6.6485405,6.8476677,8.1406593,9.0459824,
"CONGO, REP",1979,.3612439775533798,10.66761,5.8440208,-7.6505661,4.6441078,-.86622238,-.82464218,11.936569,19.242287,21.162319,5.4579735,6.9699287,-1.1592865
"CONGO, REP",1986,1.569285805577098,-7.130146,-1.1592865,6.9699287,5.4579735,21.162319,19.242287,.18920898,1.7508507,1.7493248,.99840164,2.367115,2.5784492
"CONGO, REP",1990,1.421949370127953,.99840164,1.7493248,1.7508507,.18920898,-7.130146,-1.1592865,2.367115,2.5784492,-.98457336,-5.649662,3.9079666,6.1959267
"CONGO, REP",1994,1.910845510322082,-5.649662,-.98457336,2.5784492,2.367115,.99840164,1.7493248,3.9079666,6.1959267,-2.4671555,3.5351753,-2.636528,7.3004723
Colombia,2003,2.430431940284416,3.8434982,2.4731636,1.6639709,2.8828621,-4.2949677,.56819916,5.1956177,4.5991898,6.4827919,6.6729546,3.4852982,1.6381264
Colombia,2005,.3949944032069851,4.5991898,5.1956177,3.8434982,2.4731636,1.6639709,2.8828621,6.4827919,6.6729546,3.4852982,1.6381264,3.8949013,6.3815117
Colombia,2009,4.669028880984738,1.6381264,3.4852982,6.6729546,6.4827919,4.5991898,5.1956177,3.8949013,6.3815117,3.9643288,4.8183441,4.4518471,
Colombia,2010,1.246177350321485,3.8949013,1.6381264,3.4852982,6.6729546,6.4827919,4.5991898,6.3815117,3.9643288,4.8183441,4.4518471,,
Colombia,2011,1.77126760383469,6.3815117,3.8949013,1.6381264,3.4852982,6.6729546,6.4827919,3.9643288,4.8183441,4.4518471,,,
Colombia,2013,1.567668888257094,4.8183441,3.9643288,6.3815117,3.8949013,1.6381264,3.4852982,4.4518471,,,,,
Colombia,2015,1.839525681295666,,4.4518471,4.8183441,3.9643288,6.3815117,3.8949013,,,,,,
Colombia,2016,3.894575754257859,,,4.4518471,4.8183441,3.9643288,6.3815117,,,,,,
COMOROS     ,2008,.6362082103812066,.39920807,.79684258,10.526037,2.7975559,1.8987179,2.0863056,1.8821716,2.1761417,2.5667667,2.9558659,3.4401417,2.9559135
CAPE VERDE  ,1998,.6116835873955141,8.0776215,7.3552608,6.4882278,7.2227001,6.6980839,7.0585728,11.207962,7.0150375,5.9566021,5.1476955,4.5768738,4.1909695
Costa Rica,1980,1.594545584166482,.74901581,4.8242569,6.0768127,8.5287094,5.3666115,2.0822525,-2.2854805,-7.5642586,2.8193474,7.7224731,.71792603,5.3813934
Costa Rica,1982,3.900459621778342,-7.5642586,-2.2854805,.74901581,4.8242569,6.0768127,8.5287094,2.8193474,7.7224731,.71792603,5.3813934,4.6546936,3.3808708
Costa Rica,1985,1.51067785586765,.71792603,7.7224731,2.8193474,-7.5642586,-2.2854805,.74901581,5.3813934,4.6546936,3.3808708,5.5110931,3.490448,2.2371292
Costa Rica,1987,1.250860812982874,4.6546936,5.3813934,.71792603,7.7224731,2.8193474,-7.5642586,3.3808708,5.5110931,3.490448,2.2371292,8.7572098,7.1516991
Costa Rica,1989,1.055355542012588,5.5110931,3.3808708,4.6546936,5.3813934,.71792603,7.7224731,3.490448,2.2371292,8.7572098,7.1516991,4.6211243,3.8458824
